Volume_AAL,Volume_ALGT,Volume_ALK,Volume_DAL,Volume_HA,Volume_LUV,Volume_BCS,Volume_CS,Volume_DB,Volume_GS,Volume_MS,Volume_WFC,Volume_BHC,Volume_JNJ,Volume_MRK,Volume_PFE,Volume_RHHBY,Volume_UNH,Volume_AAPL,Volume_AMZN,Volume_FB,Volume_GOOG,Volume_IBM,Volume_MSFT,Volume_SP500
16348500,233700,6209000.0,21197900.0,2046300.0,10398000.0,3428500.0,4010000.0,4057200.0,4314000.0,8403600.0,20180300.0,32840600.0,13034400.0,13482100.0,17716500.0,4168100.0,2733300.0,204420400,6807500.0,24334500.0,1416600.0,5645000.0,33277500.0,4014070000
10223100,239400,10476000.0,18385800.0,1443900.0,11178300.0,3514500.0,2334000.0,3504400.0,5055000.0,9463800.0,17568700.0,23904100.0,7938800.0,9402300.0,18015400.0,2650500.0,2420500.0,166116000,4753000.0,17377700.0,1480500.0,3302500.0,26383200.0,3835150000
7066100,111900,3973900.0,9431500.0,1450300.0,6043600.0,2246900.0,2313400.0,2386200.0,3535400.0,8382200.0,16251900.0,14696100.0,8065600.0,10553700.0,48805900.0,4325200.0,2615300.0,156572000,4857300.0,17759200.0,2018800.0,3787900.0,29172200.0,3443230000
5953700,183400,3702700.0,8781700.0,1526500.0,6157900.0,2292900.0,2010700.0,3576000.0,3881100.0,7493500.0,16105200.0,9782000.0,8013400.0,8776900.0,34894700.0,2231000.0,2564700.0,202561600,5701900.0,20453200.0,1378900.0,3517000.0,31569900.0,3573830000
4741800,230400,2677600.0,7026800.0,1784200.0,4428500.0,2803800.0,2469400.0,5353600.0,3970400.0,7321200.0,16158900.0,12980200.0,8376100.0,13040700.0,45999700.0,6943300.0,11565500.0,184192800,5871900.0,20858600.0,1556300.0,4902300.0,38635100.0,3990650000
5962900,277400,3643100.0,8609600.0,1608100.0,5725000.0,2859200.0,2723700.0,2887000.0,3710200.0,7193100.0,18147900.0,11458900.0,13137400.0,14869000.0,34022700.0,2601200.0,5187400.0,129915600,6424700.0,43275100.0,1538700.0,4072800.0,48756300.0,4261280000
3758000,86600,2906800.0,8220600.0,988600.0,3943400.0,4221400.0,2628100.0,3246300.0,2700500.0,8659500.0,24234200.0,6639800.0,6339000.0,17039400.0,20455000.0,2051200.0,3536800.0,130196800,5917900.0,21809400.0,1265100.0,4891000.0,26407700.0,3472870000
4983200,118800,2385900.0,7797900.0,860400.0,4278800.0,5199100.0,6396000.0,4770200.0,3793800.0,10536300.0,23681800.0,6730300.0,6259700.0,11446700.0,23239800.0,1146500.0,2878400.0,162579600,5959200.0,28929700.0,1555800.0,5479000.0,34960900.0,4003740000
3140800,97700,3555100.0,4877800.0,858900.0,3283800.0,4377600.0,2772900.0,3499900.0,3523100.0,7769900.0,22397300.0,8392400.0,5606400.0,10099900.0,21431100.0,867000.0,4662700.0,204588800,5652700.0,20922100.0,1843400.0,5623600.0,27823900.0,3684910000
3891300,80700,1860500.0,5556500.0,902900.0,3838700.0,4679900.0,2208100.0,3255700.0,2602500.0,7448200.0,18661900.0,10169600.0,7970100.0,11731300.0,26242500.0,577000.0,3621700.0,160704400,4472600.0,20645300.0,1679500.0,4282900.0,30596900.0,3637460000
3379700,97600,1540800.0,6719400.0,973900.0,3563100.0,3950200.0,3377000.0,3810400.0,2618400.0,7709400.0,18517600.0,8706100.0,6563500.0,13467000.0,25808700.0,1244400.0,3172300.0,135722000,6499200.0,21204900.0,1423100.0,4489600.0,30911700.0,3627610000
5396700,118200,2239100.0,7604700.0,977900.0,3448200.0,3336900.0,2914600.0,4420500.0,3017900.0,8363000.0,19987800.0,5795300.0,6578000.0,10729900.0,24546800.0,1662700.0,3371900.0,149886400,6304400.0,23200800.0,1512900.0,3728600.0,26922500.0,3779400000
4356700,182400,1246400.0,4899800.0,1302200.0,4038200.0,4974800.0,2509500.0,4052900.0,2678900.0,6111600.0,17948600.0,7962700.0,5732200.0,10815800.0,22754700.0,812300.0,2767900.0,123967600,4858100.0,18464200.0,1317200.0,4024600.0,24392800.0,3701270000
3394700,82300,1366000.0,4270200.0,706300.0,3310000.0,4012000.0,2371900.0,3095100.0,2507100.0,6687100.0,21099200.0,7717800.0,5126800.0,9064100.0,17020900.0,810100.0,2393900.0,135249600,4418100.0,19007300.0,1261000.0,3256100.0,26329200.0,3189190000
4962100,129500,1631300.0,7397700.0,1063300.0,5293700.0,3528400.0,2289700.0,2322900.0,2751400.0,7795800.0,16478300.0,7980000.0,6684400.0,12142200.0,24105600.0,1191900.0,3307000.0,152648800,4955000.0,17599700.0,1559100.0,3610300.0,30199800.0,3424650000
4878400,103000,1512900.0,5979200.0,883200.0,3606300.0,3884900.0,1856800.0,3047300.0,3140600.0,11757700.0,17024400.0,13107000.0,7158600.0,9288600.0,22336900.0,4190900.0,2899500.0,155712400,4808800.0,15849800.0,1774100.0,4237300.0,25869100.0,3745080000
4343800,149800,1130300.0,6328200.0,929300.0,4825200.0,4018100.0,2321400.0,4372900.0,3104300.0,9599100.0,17869100.0,39514100.0,7985900.0,11266800.0,26907900.0,4412300.0,4368600.0,151128400,4515000.0,18783000.0,1882600.0,3803500.0,31167300.0,4230660000
4361800,131300,3274200.0,9137400.0,1924000.0,5235600.0,2277400.0,2214600.0,4476400.0,2288100.0,6031100.0,13810600.0,8596100.0,9152300.0,11710000.0,28046200.0,950600.0,3343800.0,126774000,6531900.0,18067500.0,1907200.0,4185600.0,35387800.0,3301650000
4267000,80900,2518000.0,7157000.0,1305600.0,4682200.0,5336600.0,1935000.0,4117000.0,2478700.0,8384300.0,12212900.0,18705300.0,6770600.0,11156700.0,22180700.0,1918700.0,3048200.0,117473600,4259400.0,16821700.0,1291400.0,3631800.0,32132000.0,3391360000
2980500,87900,1124800.0,4266300.0,981600.0,3915300.0,4053500.0,1900500.0,2187900.0,2255200.0,5648700.0,13277700.0,9572500.0,6147200.0,10076600.0,19457600.0,2708800.0,3330200.0,90975200,4069700.0,15614300.0,1395400.0,3870600.0,27611000.0,3500330000
4574400,197500,1495600.0,6546600.0,1150600.0,5406400.0,4045300.0,1906000.0,3689000.0,4114400.0,9144800.0,37095000.0,7036100.0,14233500.0,21002500.0,32376900.0,3099600.0,5690300.0,157618800,5425000.0,24403400.0,3092000.0,9262700.0,49081300.0,5372340000
3834300,76000,1272900.0,6121000.0,761900.0,4453000.0,5569700.0,2170300.0,4187700.0,2426900.0,8117800.0,17982200.0,9535100.0,6017000.0,11824200.0,18978900.0,3334900.0,3407300.0,133787200,6580800.0,88140100.0,2805900.0,5482000.0,33344100.0,3302130000
2555600,89800,1003400.0,4363500.0,661400.0,2797100.0,2666300.0,2498400.0,2196600.0,1514800.0,8426700.0,26874600.0,7460900.0,6214300.0,7780000.0,19256000.0,2051900.0,3429100.0,78597600,4581600.0,129851800.0,1831900.0,4336700.0,23075200.0,3261030000
4811600,126600,2270400.0,9313900.0,1180600.0,13634600.0,2674500.0,4142500.0,12846100.0,2817600.0,8676000.0,18997300.0,5269000.0,5158700.0,10009300.0,18094300.0,1637500.0,3419800.0,148219600,4750800.0,106598800.0,1878900.0,3482200.0,24457100.0,3415510000
